True,Predicted,Correct
Kirk Hinrich,Kirk Hinrich,True
Chris Bosh,Chris Bosh,True
Beno Udrih,Beno Udrih,True
Randy Foye,Ryan Gomes,False
Mike Dunleavy,Mike Dunleavy,True
Tracy McGrady,Tracy McGrady,True
Anderson Varejao,Anderson Varejao,True
Joel Anthony,Joel Anthony,True
Juan Carlos Navarro,Juan Carlos Navarro,True
Boris Diaw,Amar'e Stoudemire,False
Jason Williams,Jason Williams,True
Rashad McCants,Rashad McCants,True
Daequan Cook,Daequan Cook,True
Francisco Garcia,Francisco Garcia,True
Baron Davis,Baron Davis,True
Michael Redd,Michael Redd,True
Michael Finley,Michael Finley,True
Ime Udoka,Bruce Bowen,False
Monta Ellis,Monta Ellis,True
Corey Brewer,Corey Brewer,True
Jason Terry,Jason Terry,True
Anthony Parker,Anthony Parker,True
Rashad McCants,Rashad McCants,True
Sasha Pavlovic,LeBron James,False
Steve Nash,Steve Nash,True
Kyle Lowry,Kyle Lowry,True
Antonio McDyess,Amir Johnson,False
Rasho Nesterovic,Rasho Nesterovic,True
Keith Bogans,Keith Bogans,True
Francisco Garcia,Francisco Garcia,True
Kelenna Azubuike,Matt Barnes,False
Bruce Bowen,Bruce Bowen,True
Jason Kapono,Jason Kapono,True
Carlos Arroyo,Carlos Arroyo,True
Mike Miller,Rudy Gay,False
Travis Diener,Travis Diener,True
Jason Williams,Jason Williams,True
Antonio McDyess,Antonio McDyess,True
Steve Blake,Steve Blake,True
Josh Smith,Josh Smith,True
Tim Thomas,Richie Frahm,False
Eddie House,Eddie House,True
Jason Hart,Jason Hart,True
Francisco Elson,Francisco Elson,True
Kobe Bryant,Kobe Bryant,True
Chris Kaman,Chris Kaman,True
Monta Ellis,Monta Ellis,True
Fabricio Oberto,Fabricio Oberto,True
Kasib Powell,Kasib Powell,True
Mike Bibby,Mike Bibby,True
Mike Dunleavy,Mike Dunleavy,True
Steve Blake,Steve Blake,True
Josh Howard,Josh Howard,True
Arron Afflalo,Arron Afflalo,True
Steve Blake,Steve Blake,True
Andres Nocioni,Andres Nocioni,True
Rasheed Wallace,Jason Maxiell,False
Tracy McGrady,Tracy McGrady,True
Marko Jaric,Randy Foye,False
Carlos Boozer,Carlos Boozer,True
Mikki Moore,Mikki Moore,True
Michael Doleac,Michael Doleac,True
Pau Gasol,Pau Gasol,True
Acie Law,Acie Law,True
Greg Buckner,Greg Buckner,True
Chris Mihm,Didier Ilunga-Mbenga,False
Jason Kapono,Jason Kapono,True
Nene Hilario,Nene Hilario,True
Andrei Kirilenko,Andrei Kirilenko,True
Rashard Lewis,Rashard Lewis,True
Amir Johnson,Allen Iverson,False
Corey Maggette,Corey Maggette,True
Luol Deng,Tyrus Thomas,False
Maurice Evans,Maurice Evans,True
Chris Quinn,Chris Quinn,True
Zydrunas Ilgauskas,Zydrunas Ilgauskas,True
James Singleton,James Singleton,True
Royal Ivey,Royal Ivey,True
Joakim Noah,Joakim Noah,True
Andres Nocioni,Andres Nocioni,True
Jake Voskuhl,Jamario Moon,False
Luke Walton,Luke Walton,True
Josh Powell,Didier Ilunga-Mbenga,False
Dominic McGuire,Dominic McGuire,True
Luke Ridnour,Luke Ridnour,True
Travis Outlaw,Travis Outlaw,True
Jason Kidd,Jason Kidd,True
Rodney Stuckey,Richard Hamilton,False
Brandon Rush,Danny Granger,False
Ben Gordon,Brad Miller,False
Matt Bonner,Matt Bonner,True
Joel Anthony,Joel Anthony,True
Josh Smith,Josh Smith,True
Hedo Turkoglu,Hedo Turkoglu,True
Chris Duhon,Chris Duhon,True
Mickael Pietrus,Keith Bogans,False
Raja Bell,Raja Bell,True
Dirk Nowitzki,Dirk Nowitzki,True
Von Wafer,Von Wafer,True
Mark Madsen,Kevin Love,False
Jamal Crawford,Jamal Crawford,True
Mo Williams,Mo Williams,True
Michael Redd,Michael Redd,True
Tony Allen,Tony Allen,True
Dahntay Jones,Dahntay Jones,True
Linas Kleiza,Linas Kleiza,True
Quinton Ross,Quinton Ross,True
Drew Gooden,Drew Gooden,True
Roger Mason,Roger Mason,True
Shawn Marion,Shawn Marion,True
Dirk Nowitzki,Dirk Nowitzki,True
Mike Dunleavy,Mike Dunleavy,True
Udonis Haslem,Udonis Haslem,True
Travis Outlaw,Travis Outlaw,True
Ronald Murray,Ronald Murray,True
Courtney Lee,Hedo Turkoglu,False
Andris Biedrins,Andris Biedrins,True
Jordan Farmar,Jordan Farmar,True
Anthony Carter,Anthony Carter,True
Marc Gasol,Marc Gasol,True
Rodney Carney,Randy Foye,False
Ray Allen,Ray Allen,True
T.J. Ford,T.J. Ford,True
Arron Afflalo,Rasheed Wallace,False
Eric Gordon,Eric Gordon,True
Josh Howard,Josh Howard,True
Shaquille O'Neal,Shaquille O'Neal,True
Kevin Love,Kevin Love,True
Chris Duhon,Chris Duhon,True
John Salmons,John Salmons,True
Ronny Turiaf,Ronny Turiaf,True
Ronnie Price,Ronnie Price,True
Elton Brand,Elton Brand,True
Erick Dampier,Erick Dampier,True
Randy Foye,Randy Foye,True
Anthony Morrow,Anthony Morrow,True
Keith Bogans,Keith Bogans,True
Ronald Murray,Ronald Murray,True
Dominic McGuire,Dominic McGuire,True
Thabo Sefolosha,Thabo Sefolosha,True
Ronnie Brewer,Ronnie Brewer,True
Anthony Johnson,Anthony Johnson,True
Russell Westbrook,Russell Westbrook,True
Nick Collison,Nick Collison,True
Nick Collison,Nick Collison,True
Matt Harpring,Matt Harpring,True
Steve Novak,Steve Novak,True
Thaddeus Young,Thaddeus Young,True
Matt Bonner,Manu Ginobili,False
Dwyane Wade,Dwyane Wade,True
Ben Wallace,Ben Wallace,True
Roko Ukic,Roko Ukic,True
Matt Barnes,Matt Barnes,True
Mikki Moore,Mikki Moore,True
Josh Smith,Joe Johnson,False
Anthony Johnson,Anthony Johnson,True
J.R. Smith,J.R. Smith,True
Rasho Nesterovic,Rasho Nesterovic,True
Ricky Davis,Ricky Davis,True
Hedo Turkoglu,Hedo Turkoglu,True
Daequan Cook,Daequan Cook,True
Raja Bell,Raja Bell,True
Joe Johnson,Joe Johnson,True
Monta Ellis,Stephen Curry,False
Kevin Garnett,Kevin Garnett,True
Metta World Peace,Metta World Peace,True
Zach Randolph,Zach Randolph,True
Mario Chalmers,Mario Chalmers,True
Steve Nash,Steve Nash,True
David Andersen,Chuck Hayes,False
Brandon Jennings,Brandon Jennings,True
Earl Watson,Earl Watson,True
Wesley Matthews,Wesley Matthews,True
Lou Amundson,Jason Richardson,False
Jeff Green,Jeff Green,True
Jason Terry,Jason Terry,True
Mike Dunleavy,Mike Dunleavy,True
Jason Collins,Jason Collins,True
Eric Gordon,Rasual Butler,False
Jannero Pargo,Jannero Pargo,True
Chris Bosh,Chris Bosh,True
Channing Frye,Channing Frye,True
J.R. Smith,J.R. Smith,True
Nene Hilario,Kenyon Martin,False
Deron Williams,Deron Williams,True
Aaron Brooks,Aaron Brooks,True
Trevor Ariza,Trevor Ariza,True
Zach Randolph,Zach Randolph,True
Antoine Wright,Antoine Wright,True
Steve Blake,Steve Blake,True
Willie Green,Willie Green,True
Shane Battier,Shane Battier,True
Elton Brand,Elton Brand,True
Zydrunas Ilgauskas,Mo Williams,False
Jonny Flynn,Jonny Flynn,True
Drew Gooden,Drew Gooden,True
Andres Nocioni,Andres Nocioni,True
Thaddeus Young,Thaddeus Young,True
Sergio Rodriguez,Sergio Rodriguez,True
Marcus Camby,Marcus Camby,True
Troy Murphy,Troy Murphy,True
Jason Maxiell,Jason Maxiell,True
Corey Brewer,Corey Brewer,True
Eric Gordon,Eric Gordon,True
Eric Gordon,Eric Gordon,True
Deron Williams,Deron Williams,True
Jamaal Tinsley,Jamaal Tinsley,True
Jeff Green,Jeff Green,True
Zach Randolph,Zach Randolph,True
Nene Hilario,Nene Hilario,True
Wilson Chandler,Wilson Chandler,True
Maurice Evans,Maurice Evans,True
Andres Nocioni,Andres Nocioni,True
Al Jefferson,Al Jefferson,True
Ricky Davis,Ricky Davis,True
Will Bynum,Will Bynum,True
Ty Lawson,Ty Lawson,True
Andrei Kirilenko,Andrei Kirilenko,True
Samuel Dalembert,Samuel Dalembert,True
Kevin Durant,Kevin Durant,True
Kevin Durant,Kevin Durant,True
Marvin Williams,Joe Smith,False
Wayne Ellington,Wayne Ellington,True
Etan Thomas,Etan Thomas,True
John Salmons,John Salmons,True
Martell Webster,Martell Webster,True
Jameer Nelson,Jason Williams,False
Derrick Rose,Derrick Rose,True
Jannero Pargo,Jannero Pargo,True
Andre Iguodala,Andre Iguodala,True
Caron Butler,Caron Butler,True
Omri Casspi,Omri Casspi,True
Ronny Turiaf,Ronny Turiaf,True
Amir Johnson,Amir Johnson,True
Antoine Wright,DeMar DeRozan,False
Martell Webster,Martell Webster,True
Andrew Bogut,Andrew Bogut,True
Jason Richardson,Jason Richardson,True
J.R. Smith,J.R. Smith,True
Nate Robinson,Nate Robinson,True
Nene Hilario,Nene Hilario,True
Ersan Ilyasova,Ersan Ilyasova,True
Al Horford,Al Horford,True
Sergio Rodriguez,Omri Casspi,False
J.J. Redick,J.J. Redick,True
Keith Bogans,Keith Bogans,True
Nick Collison,Nick Collison,True
Chris Andersen,Chris Andersen,True
J.J. Hickson,J.J. Hickson,True
Josh McRoberts,Josh McRoberts,True
Oleksiy Pecherov,Kevin Love,False
Roger Mason,Roger Mason,True
Nene Hilario,Nene Hilario,True
Shannon Brown,Shannon Brown,True
Wilson Chandler,Wilson Chandler,True
Hamed Haddadi,Marc Gasol,False
C.J. Miles,C.J. Miles,True
Ryan Anderson,Rashard Lewis,False
Troy Murphy,Troy Murphy,True
Goran Dragic,Goran Dragic,True
Kobe Bryant,Kobe Bryant,True
Toney Douglas,Toney Douglas,True
Eddie House,Eddie House,True
James Harden,James Harden,True
Chris Duhon,Chris Duhon,True
Marcus Camby,Marcus Camby,True
Lazar Hayward,Lazar Hayward,True
Gilbert Arenas,Gilbert Arenas,True
Corey Brewer,Corey Brewer,True
Shaquille O'Neal,Shaquille O'Neal,True
Paul Pierce,Paul Pierce,True
John Wall,John Wall,True
Chris Andersen,Chris Andersen,True
Chris Andersen,Chris Andersen,True
Danny Granger,Danny Granger,True
Tim Duncan,Tim Duncan,True
Shawne Williams,Shawne Williams,True
DeShawn Stevenson,Jason Kidd,False
Mike Bibby,Mike Bibby,True
Serge Ibaka,Serge Ibaka,True
DeMar DeRozan,DeMar DeRozan,True
Andres Nocioni,Andre Iguodala,False
Danilo Gallinari,Danilo Gallinari,True
Toney Douglas,Toney Douglas,True
Rashard Lewis,Quentin Richardson,False
Kurt Thomas,Kurt Thomas,True
Serge Ibaka,Nick Collison,False
Earl Watson,Gordon Hayward,False
Brandon Jennings,Brandon Jennings,True
Jerryd Bayless,Jose Calderon,False
Earl Clark,Dwight Howard,False
Dorell Wright,Dorell Wright,True
Zach Randolph,Zach Randolph,True
Sam Young,Sam Young,True
Kobe Bryant,Kobe Bryant,True
Kevin Durant,Kevin Durant,True
Darko Milicic,Darko Milicic,True
Dante Cunningham,Gerald Wallace,False
Brandan Wright,Brandan Wright,True
Luol Deng,Luol Deng,True
Landry Fields,Landry Fields,True
Josh Childress,Josh Childress,True
J.J. Redick,J.J. Redick,True
Matt Barnes,Matt Barnes,True
Luc Mbah a Moute,Luc Mbah a Moute,True
J.R. Smith,J.R. Smith,True
Evan Turner,Evan Turner,True
A.J. Price,A.J. Price,True
Sonny Weems,Sonny Weems,True
Dorell Wright,Dan Gadzuric,False
Christian Eyenga,Antawn Jamison,False
Wilson Chandler,Wilson Chandler,True
DeMar DeRozan,DeMar DeRozan,True
Al Jefferson,Al Jefferson,True
Monta Ellis,Monta Ellis,True
Richard Hamilton,Richard Hamilton,True
Luke Ridnour,Luke Ridnour,True
Earl Watson,Earl Watson,True
Kevin Love,Kevin Love,True
Omer Asik,Ronnie Brewer,False
Dahntay Jones,Dahntay Jones,True
Derek Fisher,Derek Fisher,True
Serge Ibaka,Serge Ibaka,True
Nene Hilario,Nene Hilario,True
Chris Wilcox,Ben Wallace,False
Zaza Pachulia,Zaza Pachulia,True
Toney Douglas,Toney Douglas,True
Ian Mahinmi,Ian Mahinmi,True
Danny Granger,Danny Granger,True
JaVale McGee,JaVale McGee,True
Kenyon Martin,Melvin Ely,False
Andre Miller,Andre Miller,True
Jamal Crawford,Jamal Crawford,True
Jason Kidd,Jason Kidd,True
Darrell Arthur,Marc Gasol,False
Andrei Kirilenko,Andrei Kirilenko,True
Antawn Jamison,Antawn Jamison,True
Antonio McDyess,Antonio McDyess,True
Aaron Brooks,Aaron Brooks,True
Russell Westbrook,Russell Westbrook,True
Kevin Martin,Kevin Martin,True
Derek Fisher,Derek Fisher,True
Andrei Kirilenko,Andrei Kirilenko,True
Josh McRoberts,Josh McRoberts,True
Daniel Gibson,Daniel Gibson,True
Manny Harris,Manny Harris,True
Eddie House,Eddie House,True
Darko Milicic,Darko Milicic,True
Sonny Weems,Sonny Weems,True
Mike Conley,Mike Conley,True
Tony Allen,Tony Allen,True
Jeff Green,Jeff Green,True
Corey Maggette,Carlos Delfino,False
Richard Jefferson,Richard Jefferson,True
Al Harrington,Al Harrington,True
Will Bynum,Will Bynum,True
Richard Jefferson,Richard Jefferson,True
Chase Budinger,Chase Budinger,True
Eric Maynor,Eric Maynor,True
Zaza Pachulia,Zaza Pachulia,True
Carmelo Anthony,Carmelo Anthony,True
Tony Allen,Zach Randolph,False
Serge Ibaka,Serge Ibaka,True
Thaddeus Young,Thaddeus Young,True
Amar'e Stoudemire,Amar'e Stoudemire,True
Nolan Smith,Nolan Smith,True
Ramon Sessions,Steve Blake,False
Arron Afflalo,Arron Afflalo,True
Marcin Gortat,Marcin Gortat,True
Jared Dudley,Jared Dudley,True
Andre Miller,Al Harrington,False
Vince Carter,Vince Carter,True
Dexter Pittman,Dexter Pittman,True
Marcin Gortat,Marcin Gortat,True
Brandon Jennings,Brandon Jennings,True
Earl Clark,Earl Clark,True
Brandon Bass,Brandon Bass,True
Jerryd Bayless,Jerryd Bayless,True
Cartier Martin,Cartier Martin,True
JaVale McGee,JaVale McGee,True
J.R. Smith,J.R. Smith,True
E'Twaun Moore,E'Twaun Moore,True
Brandon Jennings,Brandon Jennings,True
Joel Anthony,Joel Anthony,True
Semih Erden,Semih Erden,True
Jan Vesely,JaVale McGee,False
Derrick Rose,Derrick Rose,True
Chris Bosh,Chris Bosh,True
Kenyon Martin,Kenyon Martin,True
Matt Bonner,Matt Bonner,True
Jeff Teague,Jeff Teague,True
Jerry Stackhouse,Jerry Stackhouse,True
Shelvin Mack,Shelvin Mack,True
Drew Gooden,Ekpe Udoh,False
Raymond Felton,Raymond Felton,True
Jared Dudley,Jared Dudley,True
Quincy Pondexter,O.J. Mayo,False
Nikola Vucevic,Spencer Hawes,False
Eric Bledsoe,Eric Bledsoe,True
Andrea Bargnani,Andrea Bargnani,True
James Harden,James Harden,True
James Johnson,James Johnson,True
Chuck Hayes,Chuck Hayes,True
Ish Smith,Ish Smith,True
Lance Stephenson,Lance Stephenson,True
Amir Johnson,Amir Johnson,True
Mike Bibby,Mike Bibby,True
Paul Pierce,Paul Pierce,True
Carlos Boozer,Carlos Boozer,True
Anthony Parker,Anthony Parker,True
Amir Johnson,Amir Johnson,True
Tyson Chandler,Tyson Chandler,True
Jon Leuer,Jon Leuer,True
Chris Bosh,Chris Bosh,True
Rodney Stuckey,Rodney Stuckey,True
Joakim Noah,Joakim Noah,True
Shane Battier,Shane Battier,True
DeJuan Blair,DeJuan Blair,True
Lavoy Allen,Lavoy Allen,True
Patrick Patterson,Patrick Patterson,True
Andris Biedrins,Andris Biedrins,True
James Harden,James Harden,True
Nikola Pekovic,Nikola Pekovic,True
Paul Millsap,Enes Kanter,False
Blake Griffin,Blake Griffin,True
Jared Dudley,Josh Childress,False
Justin Dentmon,Justin Dentmon,True
Baron Davis,Baron Davis,True
David West,David West,True
Steve Novak,Steve Novak,True
Carmelo Anthony,Carmelo Anthony,True
Lamar Odom,Lamar Odom,True
Jared Jeffries,Jared Jeffries,True
Brian Cook,Brian Cook,True
Andrea Bargnani,Amir Johnson,False
LeBron James,LeBron James,True
Randy Foye,Randy Foye,True
Serge Ibaka,Serge Ibaka,True
Andrea Bargnani,Andrea Bargnani,True
Ed Davis,Ed Davis,True
Thaddeus Young,Thaddeus Young,True
Chris Duhon,Chris Duhon,True
Hamed Haddadi,Josh Davis,False
Richard Hamilton,Richard Hamilton,True
Josh Smith,Josh Smith,True
Tyreke Evans,Tyreke Evans,True
Danny Granger,Danny Granger,True
David Lee,David Lee,True
Paul George,Paul George,True
James Harden,James Harden,True
Lavoy Allen,Lavoy Allen,True
Brandon Rush,Brandon Rush,True
Roy Hibbert,Roy Hibbert,True
Anthony Parker,Anthony Parker,True
Norris Cole,Norris Cole,True
Kyrie Irving,Kyrie Irving,True
Marcus Thornton,Marcus Thornton,True
Devin Harris,Devin Harris,True
Kwame Brown,Klay Thompson,False
James Harden,Kendrick Perkins,False
Shelvin Mack,Shelvin Mack,True
Derrick Rose,Derrick Rose,True
Nazr Mohammed,Nazr Mohammed,True
Klay Thompson,Klay Thompson,True
JaVale McGee,Corey Brewer,False
Omer Asik,Omer Asik,True
O.J. Mayo,O.J. Mayo,True
Eric Bledsoe,Chris Paul,False
Tyson Chandler,Tyson Chandler,True
LeBron James,LeBron James,True
Hasheem Thabeet,Hasheem Thabeet,True
Omer Asik,Omer Asik,True
Martell Webster,Martell Webster,True
Zach Randolph,Zach Randolph,True
Tony Parker,Tony Parker,True
Marvin Williams,Marvin Williams,True
Stephen Curry,Stephen Curry,True
Earl Watson,Mo Williams,False
Thomas Robinson,Toney Douglas,False
Kwame Brown,Lavoy Allen,False
C.J. Watson,C.J. Watson,True
Stephen Jackson,Stephen Jackson,True
Rudy Gay,Rudy Gay,True
Metta World Peace,Metta World Peace,True
Andrew Nicholson,Arron Afflalo,False
Evan Fournier,Evan Fournier,True
Zaza Pachulia,Zaza Pachulia,True
Kevin Martin,Kevin Martin,True
Goran Dragic,Goran Dragic,True
Eric Maynor,Eric Maynor,True
Goran Dragic,Goran Dragic,True
Dirk Nowitzki,Dirk Nowitzki,True
Kyrie Irving,Kyrie Irving,True
Brandon Jennings,Brandon Jennings,True
Jeff Green,Jeff Green,True
Brandon Bass,Brandon Bass,True
O.J. Mayo,Vince Carter,False
Zach Randolph,Zach Randolph,True
Wilson Chandler,Wilson Chandler,True
Rodney Stuckey,Rodney Stuckey,True
Mario Chalmers,Mario Chalmers,True
Gustavo Ayon,Gustavo Ayon,True
Tony Parker,Tony Parker,True
Kevin Seraphin,Kevin Seraphin,True
Jared Sullinger,Jared Sullinger,True
Kyle Korver,Josh Smith,False
Marco Belinelli,Marco Belinelli,True
Lavoy Allen,Lavoy Allen,True
Wilson Chandler,Wilson Chandler,True
Rajon Rondo,Rajon Rondo,True
Will Barton,Will Barton,True
Jeff Green,Jeff Green,True
Jared Dudley,Jared Dudley,True
Chuck Hayes,DeMarcus Cousins,False
Al Jefferson,Al Jefferson,True
LaMarcus Aldridge,LaMarcus Aldridge,True
Udonis Haslem,Udonis Haslem,True
J.J. Barea,J.J. Barea,True
Stephen Jackson,Stephen Jackson,True
Spencer Hawes,Thaddeus Young,False
Linas Kleiza,Linas Kleiza,True
Steve Novak,Steve Novak,True
Jason Maxiell,Jason Maxiell,True
Raymond Felton,Raymond Felton,True
Kevin Martin,Kevin Martin,True
John Wall,John Wall,True
Carmelo Anthony,Carmelo Anthony,True
Raymond Felton,Raymond Felton,True
Stephen Curry,Stephen Curry,True
Ekpe Udoh,Ekpe Udoh,True
Dirk Nowitzki,Brandan Wright,False
James Johnson,James Johnson,True
Alec Burks,Alec Burks,True
O.J. Mayo,O.J. Mayo,True
Stephen Curry,Stephen Curry,True
Chris Bosh,Chris Bosh,True
Tobias Harris,Tobias Harris,True
Derrick Favors,Derrick Favors,True
Dwight Howard,Dwight Howard,True
Richard Hamilton,Richard Hamilton,True
Andre Miller,Andre Miller,True
Tyler Hansbrough,Tyler Hansbrough,True
Andrew Nicholson,Andrew Nicholson,True
Ricky Rubio,Ricky Rubio,True
Courtney Lee,Courtney Lee,True
Shawn Marion,Shawn Marion,True
Wayne Ellington,Wayne Ellington,True
Nick Young,Jrue Holiday,False
Rudy Gay,Wayne Ellington,False
Jason Maxiell,Jason Maxiell,True
Marvin Williams,Marvin Williams,True
Marcin Gortat,Marcin Gortat,True
Darren Collison,Darren Collison,True
Gerald Green,Gerald Green,True
Alexey Shved,Alexey Shved,True
Ronny Turiaf,Ronny Turiaf,True
Tony Parker,Tony Parker,True
Luke Babbitt,Luke Babbitt,True
DeMar DeRozan,DeMar DeRozan,True
David Lee,David Lee,True
Josh Smith,Josh Smith,True
Boris Diaw,Boris Diaw,True
Tony Parker,Tony Parker,True
Al Harrington,Bradley Beal,False
Kawhi Leonard,Kawhi Leonard,True
Marcus Morris,Marcus Morris,True
Paul George,Paul George,True
Isaiah Thomas,Isaiah Thomas,True
Evan Turner,Evan Turner,True
Kevin Durant,Kevin Durant,True
Carlos Boozer,Carlos Boozer,True
Trey Burke,Trey Burke,True
Jimmy Butler,Jimmy Butler,True
C.J. Watson,C.J. Watson,True
Tyreke Evans,Tyreke Evans,True
Mario Chalmers,Mario Chalmers,True
Kyle Singler,Kyle Singler,True
Tim Duncan,Tim Duncan,True
Joe Johnson,Joe Johnson,True
Greg Stiemsma,Greg Stiemsma,True
Terrence Jones,Terrence Jones,True
Kawhi Leonard,Kawhi Leonard,True
Mario Chalmers,Mario Chalmers,True
Greg Monroe,Greg Monroe,True
Josh Smith,Josh Smith,True
Mike Miller,Mike Miller,True
Paul George,Paul George,True
Alan Anderson,Alan Anderson,True
Lance Stephenson,Lance Stephenson,True
Glen Davis,Glen Davis,True
Byron Mullens,Blake Griffin,False
Marcin Gortat,Marcin Gortat,True
Eric Gordon,Eric Gordon,True
Nene Hilario,Nene Hilario,True
Bradley Beal,Bradley Beal,True
Lou Williams,Lou Williams,True
Kyle Singler,Kyle Singler,True
Anthony Davis,Anthony Davis,True
J.J. Hickson,J.J. Hickson,True
Bradley Beal,Bradley Beal,True
Taj Gibson,Taj Gibson,True
Marco Belinelli,Marco Belinelli,True
Kyle Lowry,Kyle Lowry,True
Al-Farouq Aminu,Al-Farouq Aminu,True
Jodie Meeks,Jodie Meeks,True
Glen Davis,Glen Davis,True
Blake Griffin,Blake Griffin,True
Vince Carter,Vince Carter,True
Reggie Bullock,Matt Barnes,False
DeMar DeRozan,DeMar DeRozan,True
Deron Williams,Deron Williams,True
Andray Blatche,Andray Blatche,True
