KNN_output	NBA_label	Match
Sam Cassell	Sam Cassell	True
Tim Thomas	Shaun Livingston	False
Deron Williams	Gordan Giricek	False
P.J. Brown	Mike Sweetney	False
Stephen Jackson	Stephen Jackson	True
Shammond Williams	Shammond Williams	True
Earl Boykins	Earl Boykins	True
Nate Robinson	Nate Robinson	True
Stephon Marbury	Steve Francis	False
Marvin Williams	Josh Smith	False
Charlie Villanueva	Charlie Villanueva	True
Rajon Rondo	Rajon Rondo	True
Josh Smith	Lorenzen Wright	False
Danny Granger	Danny Granger	True
Ben Wallace	Ben Gordon	False
Eric Snow	Eric Snow	True
Delonte West	Gerald Green	False
David Lee	David Lee	True
Juan Dixon	Juan Dixon	True
Shaquille O'Neal	Shaquille O'Neal	True
Jordan Farmar	Jordan Farmar	True
Luol Deng	Luol Deng	True
Ricky Davis	Ricky Davis	True
Andris Biedrins	Andris Biedrins	True
Kyle Korver	Samuel Dalembert	False
P.J. Brown	P.J. Brown	True
Mickael Pietrus	Matt Barnes	False
Chris Duhon	Chris Duhon	True
Randy Foye	Randy Foye	True
Matt Harpring	Matt Harpring	True
Stephen Jackson	Stephen Jackson	True
Tyrus Thomas	Tyrus Thomas	True
Derek Fisher	Derek Fisher	True
Desmond Mason	Desmond Mason	True
Marcus Camby	Kenyon Martin	False
Amar'e Stoudemire	Amar'e Stoudemire	True
LaMarcus Aldridge	LaMarcus Aldridge	True
Andrei Kirilenko	Andrei Kirilenko	True
Nene Hilario	Nene Hilario	True
Drew Gooden	Drew Gooden	True
Jorge Garbajosa	Jorge Garbajosa	True
Antonio McDyess	Antonio McDyess	True
Monta Ellis	Monta Ellis	True
Steve Blake	Steve Blake	True
DeShawn Stevenson	DeShawn Stevenson	True
Andre Miller	Andre Miller	True
Luol Deng	Luol Deng	True
Jamal Crawford	Jamal Crawford	True
Jason Kidd	Jason Kidd	True
Ray Allen	Ray Allen	True
Lindsey Hunter	Lindsey Hunter	True
LaMarcus Aldridge	LaMarcus Aldridge	True
Jared Jeffries	Jared Jeffries	True
DeShawn Stevenson	DeShawn Stevenson	True
Mark Blount	Mark Blount	True
Eduardo Najera	Eduardo Najera	True
Francisco Garcia	Francisco Garcia	True
Willie Green	Willie Green	True
Josh Smith	Josh Smith	True
Martell Webster	Martell Webster	True
Devin Brown	Devin Brown	True
Oleksiy Pecherov	Oleksiy Pecherov	True
Grant Hill	Grant Hill	True
Boris Diaw	Gordan Giricek	False
Mehmet Okur	Paul Millsap	False
Tony Parker	Tony Parker	True
Rudy Gay	Rudy Gay	True
Joel Anthony	Joel Anthony	True
Kirk Hinrich	Kirk Hinrich	True
Chris Bosh	Chris Bosh	True
Beno Udrih	Beno Udrih	True
Ryan Gomes	Randy Foye	False
Mike Dunleavy	Mike Dunleavy	True
Tracy McGrady	Tracy McGrady	True
Anderson Varejao	Anderson Varejao	True
Joel Anthony	Joel Anthony	True
Juan Carlos Navarro	Juan Carlos Navarro	True
Amar'e Stoudemire	Boris Diaw	False
Jason Williams	Jason Williams	True
Rashad McCants	Rashad McCants	True
Daequan Cook	Daequan Cook	True
Francisco Garcia	Francisco Garcia	True
Baron Davis	Baron Davis	True
Michael Redd	Michael Redd	True
Michael Finley	Michael Finley	True
Bruce Bowen	Ime Udoka	False
Monta Ellis	Monta Ellis	True
Corey Brewer	Corey Brewer	True
Jason Terry	Jason Terry	True
Anthony Parker	Anthony Parker	True
Rashad McCants	Rashad McCants	True
LeBron James	Sasha Pavlovic	False
Steve Nash	Steve Nash	True
Kyle Lowry	Kyle Lowry	True
Amir Johnson	Antonio McDyess	False
Rasho Nesterovic	Rasho Nesterovic	True
Keith Bogans	Keith Bogans	True
Francisco Garcia	Francisco Garcia	True
Matt Barnes	Kelenna Azubuike	False
Bruce Bowen	Bruce Bowen	True
Jason Kapono	Jason Kapono	True
Carlos Arroyo	Carlos Arroyo	True
Rudy Gay	Mike Miller	False
Travis Diener	Travis Diener	True
Jason Williams	Jason Williams	True
Antonio McDyess	Antonio McDyess	True
Steve Blake	Steve Blake	True
Josh Smith	Josh Smith	True
Richie Frahm	Tim Thomas	False
Eddie House	Eddie House	True
Jason Hart	Jason Hart	True
Francisco Elson	Francisco Elson	True
Kobe Bryant	Kobe Bryant	True
Chris Kaman	Chris Kaman	True
Monta Ellis	Monta Ellis	True
Fabricio Oberto	Fabricio Oberto	True
Kasib Powell	Kasib Powell	True
Mike Bibby	Mike Bibby	True
Mike Dunleavy	Mike Dunleavy	True
Steve Blake	Steve Blake	True
Josh Howard	Josh Howard	True
Arron Afflalo	Arron Afflalo	True
Steve Blake	Steve Blake	True
Andres Nocioni	Andres Nocioni	True
Jason Maxiell	Rasheed Wallace	False
Tracy McGrady	Tracy McGrady	True
Randy Foye	Marko Jaric	False
Carlos Boozer	Carlos Boozer	True
Mikki Moore	Mikki Moore	True
Michael Doleac	Michael Doleac	True
Pau Gasol	Pau Gasol	True
Acie Law	Acie Law	True
Greg Buckner	Greg Buckner	True
Didier Ilunga-Mbenga	Chris Mihm	False
Jason Kapono	Jason Kapono	True
Nene Hilario	Nene Hilario	True
Andrei Kirilenko	Andrei Kirilenko	True
Rashard Lewis	Rashard Lewis	True
Allen Iverson	Amir Johnson	False
Corey Maggette	Corey Maggette	True
Tyrus Thomas	Luol Deng	False
Maurice Evans	Maurice Evans	True
Chris Quinn	Chris Quinn	True
Zydrunas Ilgauskas	Zydrunas Ilgauskas	True
James Singleton	James Singleton	True
Royal Ivey	Royal Ivey	True
Joakim Noah	Joakim Noah	True
Andres Nocioni	Andres Nocioni	True
Jamario Moon	Jake Voskuhl	False
Luke Walton	Luke Walton	True
Didier Ilunga-Mbenga	Josh Powell	False
Dominic McGuire	Dominic McGuire	True
Luke Ridnour	Luke Ridnour	True
Travis Outlaw	Travis Outlaw	True
Jason Kidd	Jason Kidd	True
Richard Hamilton	Rodney Stuckey	False
Danny Granger	Brandon Rush	False
Brad Miller	Ben Gordon	False
Matt Bonner	Matt Bonner	True
Joel Anthony	Joel Anthony	True
Josh Smith	Josh Smith	True
Hedo Turkoglu	Hedo Turkoglu	True
Chris Duhon	Chris Duhon	True
Keith Bogans	Mickael Pietrus	False
Raja Bell	Raja Bell	True
Dirk Nowitzki	Dirk Nowitzki	True
Von Wafer	Von Wafer	True
Kevin Love	Mark Madsen	False
Jamal Crawford	Jamal Crawford	True
Mo Williams	Mo Williams	True
Michael Redd	Michael Redd	True
Tony Allen	Tony Allen	True
Dahntay Jones	Dahntay Jones	True
Linas Kleiza	Linas Kleiza	True
Quinton Ross	Quinton Ross	True
Drew Gooden	Drew Gooden	True
Roger Mason	Roger Mason	True
Shawn Marion	Shawn Marion	True
Dirk Nowitzki	Dirk Nowitzki	True
Mike Dunleavy	Mike Dunleavy	True
Udonis Haslem	Udonis Haslem	True
Travis Outlaw	Travis Outlaw	True
Ronald Murray	Ronald Murray	True
Hedo Turkoglu	Courtney Lee	False
Andris Biedrins	Andris Biedrins	True
Jordan Farmar	Jordan Farmar	True
Anthony Carter	Anthony Carter	True
Marc Gasol	Marc Gasol	True
Randy Foye	Rodney Carney	False
Ray Allen	Ray Allen	True
T.J. Ford	T.J. Ford	True
Rasheed Wallace	Arron Afflalo	False
Eric Gordon	Eric Gordon	True
Josh Howard	Josh Howard	True
Shaquille O'Neal	Shaquille O'Neal	True
Kevin Love	Kevin Love	True
Chris Duhon	Chris Duhon	True
John Salmons	John Salmons	True
Ronny Turiaf	Ronny Turiaf	True
Ronnie Price	Ronnie Price	True
Elton Brand	Elton Brand	True
Erick Dampier	Erick Dampier	True
Randy Foye	Randy Foye	True
Anthony Morrow	Anthony Morrow	True
Keith Bogans	Keith Bogans	True
Ronald Murray	Ronald Murray	True
Dominic McGuire	Dominic McGuire	True
Thabo Sefolosha	Thabo Sefolosha	True
Ronnie Brewer	Ronnie Brewer	True
Anthony Johnson	Anthony Johnson	True
Russell Westbrook	Russell Westbrook	True
Nick Collison	Nick Collison	True
Nick Collison	Nick Collison	True
Matt Harpring	Matt Harpring	True
Steve Novak	Steve Novak	True
Thaddeus Young	Thaddeus Young	True
Manu Ginobili	Matt Bonner	False
Dwyane Wade	Dwyane Wade	True
Ben Wallace	Ben Wallace	True
Roko Ukic	Roko Ukic	True
Matt Barnes	Matt Barnes	True
Mikki Moore	Mikki Moore	True
Joe Johnson	Josh Smith	False
Anthony Johnson	Anthony Johnson	True
J.R. Smith	J.R. Smith	True
Rasho Nesterovic	Rasho Nesterovic	True
Ricky Davis	Ricky Davis	True
Hedo Turkoglu	Hedo Turkoglu	True
Daequan Cook	Daequan Cook	True
Raja Bell	Raja Bell	True
Joe Johnson	Joe Johnson	True
Stephen Curry	Monta Ellis	False
Kevin Garnett	Kevin Garnett	True
Metta World Peace	Metta World Peace	True
Zach Randolph	Zach Randolph	True
Mario Chalmers	Mario Chalmers	True
Steve Nash	Steve Nash	True
Chuck Hayes	David Andersen	False
Brandon Jennings	Brandon Jennings	True
Earl Watson	Earl Watson	True
Wesley Matthews	Wesley Matthews	True
Jason Richardson	Lou Amundson	False
Jeff Green	Jeff Green	True
Jason Terry	Jason Terry	True
Mike Dunleavy	Mike Dunleavy	True
Jason Collins	Jason Collins	True
Rasual Butler	Eric Gordon	False
Jannero Pargo	Jannero Pargo	True
Chris Bosh	Chris Bosh	True
Channing Frye	Channing Frye	True
J.R. Smith	J.R. Smith	True
Kenyon Martin	Nene Hilario	False
Deron Williams	Deron Williams	True
Aaron Brooks	Aaron Brooks	True
Trevor Ariza	Trevor Ariza	True
Zach Randolph	Zach Randolph	True
Antoine Wright	Antoine Wright	True
Steve Blake	Steve Blake	True
Willie Green	Willie Green	True
Shane Battier	Shane Battier	True
Elton Brand	Elton Brand	True
Mo Williams	Zydrunas Ilgauskas	False
Jonny Flynn	Jonny Flynn	True
Drew Gooden	Drew Gooden	True
Andres Nocioni	Andres Nocioni	True
Thaddeus Young	Thaddeus Young	True
Sergio Rodriguez	Sergio Rodriguez	True
Marcus Camby	Marcus Camby	True
Troy Murphy	Troy Murphy	True
Jason Maxiell	Jason Maxiell	True
Corey Brewer	Corey Brewer	True
Eric Gordon	Eric Gordon	True
Eric Gordon	Eric Gordon	True
Deron Williams	Deron Williams	True
Jamaal Tinsley	Jamaal Tinsley	True
Jeff Green	Jeff Green	True
Zach Randolph	Zach Randolph	True
Nene Hilario	Nene Hilario	True
Wilson Chandler	Wilson Chandler	True
Maurice Evans	Maurice Evans	True
Andres Nocioni	Andres Nocioni	True
Al Jefferson	Al Jefferson	True
Ricky Davis	Ricky Davis	True
Will Bynum	Will Bynum	True
Ty Lawson	Ty Lawson	True
Andrei Kirilenko	Andrei Kirilenko	True
Samuel Dalembert	Samuel Dalembert	True
Kevin Durant	Kevin Durant	True
Kevin Durant	Kevin Durant	True
Joe Smith	Marvin Williams	False
Wayne Ellington	Wayne Ellington	True
Etan Thomas	Etan Thomas	True
John Salmons	John Salmons	True
Martell Webster	Martell Webster	True
Jason Williams	Jameer Nelson	False
Derrick Rose	Derrick Rose	True
Jannero Pargo	Jannero Pargo	True
Andre Iguodala	Andre Iguodala	True
Caron Butler	Caron Butler	True
Omri Casspi	Omri Casspi	True
Ronny Turiaf	Ronny Turiaf	True
Amir Johnson	Amir Johnson	True
DeMar DeRozan	Antoine Wright	False
Martell Webster	Martell Webster	True
Andrew Bogut	Andrew Bogut	True
Jason Richardson	Jason Richardson	True
J.R. Smith	J.R. Smith	True
Nate Robinson	Nate Robinson	True
Nene Hilario	Nene Hilario	True
Ersan Ilyasova	Ersan Ilyasova	True
Al Horford	Al Horford	True
Omri Casspi	Sergio Rodriguez	False
J.J. Redick	J.J. Redick	True
Keith Bogans	Keith Bogans	True
Nick Collison	Nick Collison	True
Chris Andersen	Chris Andersen	True
J.J. Hickson	J.J. Hickson	True
Josh McRoberts	Josh McRoberts	True
Kevin Love	Oleksiy Pecherov	False
Roger Mason	Roger Mason	True
Nene Hilario	Nene Hilario	True
Shannon Brown	Shannon Brown	True
Wilson Chandler	Wilson Chandler	True
Marc Gasol	Hamed Haddadi	False
C.J. Miles	C.J. Miles	True
Rashard Lewis	Ryan Anderson	False
Troy Murphy	Troy Murphy	True
Goran Dragic	Goran Dragic	True
Kobe Bryant	Kobe Bryant	True
Toney Douglas	Toney Douglas	True
Eddie House	Eddie House	True
James Harden	James Harden	True
Chris Duhon	Chris Duhon	True
Marcus Camby	Marcus Camby	True
Lazar Hayward	Lazar Hayward	True
Gilbert Arenas	Gilbert Arenas	True
Corey Brewer	Corey Brewer	True
Shaquille O'Neal	Shaquille O'Neal	True
Paul Pierce	Paul Pierce	True
John Wall	John Wall	True
Chris Andersen	Chris Andersen	True
Chris Andersen	Chris Andersen	True
Danny Granger	Danny Granger	True
Tim Duncan	Tim Duncan	True
Shawne Williams	Shawne Williams	True
Jason Kidd	DeShawn Stevenson	False
Mike Bibby	Mike Bibby	True
Serge Ibaka	Serge Ibaka	True
DeMar DeRozan	DeMar DeRozan	True
Andre Iguodala	Andres Nocioni	False
Danilo Gallinari	Danilo Gallinari	True
Toney Douglas	Toney Douglas	True
Quentin Richardson	Rashard Lewis	False
Kurt Thomas	Kurt Thomas	True
Nick Collison	Serge Ibaka	False
Gordon Hayward	Earl Watson	False
Brandon Jennings	Brandon Jennings	True
Jose Calderon	Jerryd Bayless	False
Dwight Howard	Earl Clark	False
Dorell Wright	Dorell Wright	True
Zach Randolph	Zach Randolph	True
Sam Young	Sam Young	True
Kobe Bryant	Kobe Bryant	True
Kevin Durant	Kevin Durant	True
Darko Milicic	Darko Milicic	True
Gerald Wallace	Dante Cunningham	False
Brandan Wright	Brandan Wright	True
Luol Deng	Luol Deng	True
Landry Fields	Landry Fields	True
Josh Childress	Josh Childress	True
J.J. Redick	J.J. Redick	True
Matt Barnes	Matt Barnes	True
Luc Mbah a Moute	Luc Mbah a Moute	True
J.R. Smith	J.R. Smith	True
Evan Turner	Evan Turner	True
A.J. Price	A.J. Price	True
Sonny Weems	Sonny Weems	True
Dan Gadzuric	Dorell Wright	False
Antawn Jamison	Christian Eyenga	False
Wilson Chandler	Wilson Chandler	True
DeMar DeRozan	DeMar DeRozan	True
Al Jefferson	Al Jefferson	True
Monta Ellis	Monta Ellis	True
Richard Hamilton	Richard Hamilton	True
Luke Ridnour	Luke Ridnour	True
Earl Watson	Earl Watson	True
Kevin Love	Kevin Love	True
Ronnie Brewer	Omer Asik	False
Dahntay Jones	Dahntay Jones	True
Derek Fisher	Derek Fisher	True
Serge Ibaka	Serge Ibaka	True
Nene Hilario	Nene Hilario	True
Ben Wallace	Chris Wilcox	False
Zaza Pachulia	Zaza Pachulia	True
Toney Douglas	Toney Douglas	True
Ian Mahinmi	Ian Mahinmi	True
Danny Granger	Danny Granger	True
JaVale McGee	JaVale McGee	True
Melvin Ely	Kenyon Martin	False
Andre Miller	Andre Miller	True
Jamal Crawford	Jamal Crawford	True
Jason Kidd	Jason Kidd	True
Marc Gasol	Darrell Arthur	False
Andrei Kirilenko	Andrei Kirilenko	True
Antawn Jamison	Antawn Jamison	True
Antonio McDyess	Antonio McDyess	True
Aaron Brooks	Aaron Brooks	True
Russell Westbrook	Russell Westbrook	True
Kevin Martin	Kevin Martin	True
Derek Fisher	Derek Fisher	True
Andrei Kirilenko	Andrei Kirilenko	True
Josh McRoberts	Josh McRoberts	True
Daniel Gibson	Daniel Gibson	True
Manny Harris	Manny Harris	True
Eddie House	Eddie House	True
Darko Milicic	Darko Milicic	True
Sonny Weems	Sonny Weems	True
Mike Conley	Mike Conley	True
Tony Allen	Tony Allen	True
Jeff Green	Jeff Green	True
Carlos Delfino	Corey Maggette	False
Richard Jefferson	Richard Jefferson	True
Al Harrington	Al Harrington	True
Will Bynum	Will Bynum	True
Richard Jefferson	Richard Jefferson	True
Chase Budinger	Chase Budinger	True
Eric Maynor	Eric Maynor	True
Zaza Pachulia	Zaza Pachulia	True
Carmelo Anthony	Carmelo Anthony	True
Zach Randolph	Tony Allen	False
Serge Ibaka	Serge Ibaka	True
Thaddeus Young	Thaddeus Young	True
Amar'e Stoudemire	Amar'e Stoudemire	True
Nolan Smith	Nolan Smith	True
Steve Blake	Ramon Sessions	False
Arron Afflalo	Arron Afflalo	True
Marcin Gortat	Marcin Gortat	True
Jared Dudley	Jared Dudley	True
Al Harrington	Andre Miller	False
Vince Carter	Vince Carter	True
Dexter Pittman	Dexter Pittman	True
Marcin Gortat	Marcin Gortat	True
Brandon Jennings	Brandon Jennings	True
Earl Clark	Earl Clark	True
Brandon Bass	Brandon Bass	True
Jerryd Bayless	Jerryd Bayless	True
Cartier Martin	Cartier Martin	True
JaVale McGee	JaVale McGee	True
J.R. Smith	J.R. Smith	True
E'Twaun Moore	E'Twaun Moore	True
Brandon Jennings	Brandon Jennings	True
Joel Anthony	Joel Anthony	True
Semih Erden	Semih Erden	True
JaVale McGee	Jan Vesely	False
Derrick Rose	Derrick Rose	True
Chris Bosh	Chris Bosh	True
Kenyon Martin	Kenyon Martin	True
Matt Bonner	Matt Bonner	True
Jeff Teague	Jeff Teague	True
Jerry Stackhouse	Jerry Stackhouse	True
Shelvin Mack	Shelvin Mack	True
Ekpe Udoh	Drew Gooden	False
Raymond Felton	Raymond Felton	True
Jared Dudley	Jared Dudley	True
O.J. Mayo	Quincy Pondexter	False
Spencer Hawes	Nikola Vucevic	False
Eric Bledsoe	Eric Bledsoe	True
Andrea Bargnani	Andrea Bargnani	True
James Harden	James Harden	True
James Johnson	James Johnson	True
Chuck Hayes	Chuck Hayes	True
Ish Smith	Ish Smith	True
Lance Stephenson	Lance Stephenson	True
Amir Johnson	Amir Johnson	True
Mike Bibby	Mike Bibby	True
Paul Pierce	Paul Pierce	True
Carlos Boozer	Carlos Boozer	True
Anthony Parker	Anthony Parker	True
Amir Johnson	Amir Johnson	True
Tyson Chandler	Tyson Chandler	True
Jon Leuer	Jon Leuer	True
Chris Bosh	Chris Bosh	True
Rodney Stuckey	Rodney Stuckey	True
Joakim Noah	Joakim Noah	True
Shane Battier	Shane Battier	True
DeJuan Blair	DeJuan Blair	True
Lavoy Allen	Lavoy Allen	True
Patrick Patterson	Patrick Patterson	True
Andris Biedrins	Andris Biedrins	True
James Harden	James Harden	True
Nikola Pekovic	Nikola Pekovic	True
Enes Kanter	Paul Millsap	False
Blake Griffin	Blake Griffin	True
Josh Childress	Jared Dudley	False
Justin Dentmon	Justin Dentmon	True
Baron Davis	Baron Davis	True
David West	David West	True
Steve Novak	Steve Novak	True
Carmelo Anthony	Carmelo Anthony	True
Lamar Odom	Lamar Odom	True
Jared Jeffries	Jared Jeffries	True
Brian Cook	Brian Cook	True
Amir Johnson	Andrea Bargnani	False
LeBron James	LeBron James	True
Randy Foye	Randy Foye	True
Serge Ibaka	Serge Ibaka	True
Andrea Bargnani	Andrea Bargnani	True
Ed Davis	Ed Davis	True
Thaddeus Young	Thaddeus Young	True
Chris Duhon	Chris Duhon	True
Josh Davis	Hamed Haddadi	False
Richard Hamilton	Richard Hamilton	True
Josh Smith	Josh Smith	True
Tyreke Evans	Tyreke Evans	True
Danny Granger	Danny Granger	True
David Lee	David Lee	True
Paul George	Paul George	True
James Harden	James Harden	True
Lavoy Allen	Lavoy Allen	True
Brandon Rush	Brandon Rush	True
Roy Hibbert	Roy Hibbert	True
Anthony Parker	Anthony Parker	True
Norris Cole	Norris Cole	True
Kyrie Irving	Kyrie Irving	True
Marcus Thornton	Marcus Thornton	True
Devin Harris	Devin Harris	True
Klay Thompson	Kwame Brown	False
Kendrick Perkins	James Harden	False
Shelvin Mack	Shelvin Mack	True
Derrick Rose	Derrick Rose	True
Nazr Mohammed	Nazr Mohammed	True
Klay Thompson	Klay Thompson	True
Corey Brewer	JaVale McGee	False
Omer Asik	Omer Asik	True
O.J. Mayo	O.J. Mayo	True
Chris Paul	Eric Bledsoe	False
Tyson Chandler	Tyson Chandler	True
LeBron James	LeBron James	True
Hasheem Thabeet	Hasheem Thabeet	True
Omer Asik	Omer Asik	True
Martell Webster	Martell Webster	True
Zach Randolph	Zach Randolph	True
Tony Parker	Tony Parker	True
Marvin Williams	Marvin Williams	True
Stephen Curry	Stephen Curry	True
Mo Williams	Earl Watson	False
Toney Douglas	Thomas Robinson	False
Lavoy Allen	Kwame Brown	False
C.J. Watson	C.J. Watson	True
Stephen Jackson	Stephen Jackson	True
Rudy Gay	Rudy Gay	True
Metta World Peace	Metta World Peace	True
Arron Afflalo	Andrew Nicholson	False
Evan Fournier	Evan Fournier	True
Zaza Pachulia	Zaza Pachulia	True
Kevin Martin	Kevin Martin	True
Goran Dragic	Goran Dragic	True
Eric Maynor	Eric Maynor	True
Goran Dragic	Goran Dragic	True
Dirk Nowitzki	Dirk Nowitzki	True
Kyrie Irving	Kyrie Irving	True
Brandon Jennings	Brandon Jennings	True
Jeff Green	Jeff Green	True
Brandon Bass	Brandon Bass	True
Vince Carter	O.J. Mayo	False
Zach Randolph	Zach Randolph	True
Wilson Chandler	Wilson Chandler	True
Rodney Stuckey	Rodney Stuckey	True
Mario Chalmers	Mario Chalmers	True
Gustavo Ayon	Gustavo Ayon	True
Tony Parker	Tony Parker	True
Kevin Seraphin	Kevin Seraphin	True
Jared Sullinger	Jared Sullinger	True
Josh Smith	Kyle Korver	False
Marco Belinelli	Marco Belinelli	True
Lavoy Allen	Lavoy Allen	True
Wilson Chandler	Wilson Chandler	True
Rajon Rondo	Rajon Rondo	True
Will Barton	Will Barton	True
Jeff Green	Jeff Green	True
Jared Dudley	Jared Dudley	True
DeMarcus Cousins	Chuck Hayes	False
Al Jefferson	Al Jefferson	True
LaMarcus Aldridge	LaMarcus Aldridge	True
Udonis Haslem	Udonis Haslem	True
J.J. Barea	J.J. Barea	True
Stephen Jackson	Stephen Jackson	True
Thaddeus Young	Spencer Hawes	False
Linas Kleiza	Linas Kleiza	True
Steve Novak	Steve Novak	True
Jason Maxiell	Jason Maxiell	True
Raymond Felton	Raymond Felton	True
Kevin Martin	Kevin Martin	True
John Wall	John Wall	True
Carmelo Anthony	Carmelo Anthony	True
Raymond Felton	Raymond Felton	True
Stephen Curry	Stephen Curry	True
Ekpe Udoh	Ekpe Udoh	True
Brandan Wright	Dirk Nowitzki	False
James Johnson	James Johnson	True
Alec Burks	Alec Burks	True
O.J. Mayo	O.J. Mayo	True
Stephen Curry	Stephen Curry	True
Chris Bosh	Chris Bosh	True
Tobias Harris	Tobias Harris	True
Derrick Favors	Derrick Favors	True
Dwight Howard	Dwight Howard	True
Richard Hamilton	Richard Hamilton	True
Andre Miller	Andre Miller	True
Tyler Hansbrough	Tyler Hansbrough	True
Andrew Nicholson	Andrew Nicholson	True
Ricky Rubio	Ricky Rubio	True
Courtney Lee	Courtney Lee	True
Shawn Marion	Shawn Marion	True
Wayne Ellington	Wayne Ellington	True
Jrue Holiday	Nick Young	False
Wayne Ellington	Rudy Gay	False
Jason Maxiell	Jason Maxiell	True
Marvin Williams	Marvin Williams	True
Marcin Gortat	Marcin Gortat	True
Darren Collison	Darren Collison	True
Gerald Green	Gerald Green	True
Alexey Shved	Alexey Shved	True
Ronny Turiaf	Ronny Turiaf	True
Tony Parker	Tony Parker	True
Luke Babbitt	Luke Babbitt	True
DeMar DeRozan	DeMar DeRozan	True
David Lee	David Lee	True
Josh Smith	Josh Smith	True
Boris Diaw	Boris Diaw	True
Tony Parker	Tony Parker	True
Bradley Beal	Al Harrington	False
Kawhi Leonard	Kawhi Leonard	True
Marcus Morris	Marcus Morris	True
Paul George	Paul George	True
Isaiah Thomas	Isaiah Thomas	True
Evan Turner	Evan Turner	True
Kevin Durant	Kevin Durant	True
Carlos Boozer	Carlos Boozer	True
Trey Burke	Trey Burke	True
Jimmy Butler	Jimmy Butler	True
C.J. Watson	C.J. Watson	True
Tyreke Evans	Tyreke Evans	True
Mario Chalmers	Mario Chalmers	True
Kyle Singler	Kyle Singler	True
Tim Duncan	Tim Duncan	True
Joe Johnson	Joe Johnson	True
Greg Stiemsma	Greg Stiemsma	True
Terrence Jones	Terrence Jones	True
Kawhi Leonard	Kawhi Leonard	True
Mario Chalmers	Mario Chalmers	True
Greg Monroe	Greg Monroe	True
Josh Smith	Josh Smith	True
Mike Miller	Mike Miller	True
Paul George	Paul George	True
Alan Anderson	Alan Anderson	True
Lance Stephenson	Lance Stephenson	True
Glen Davis	Glen Davis	True
Blake Griffin	Byron Mullens	False
Marcin Gortat	Marcin Gortat	True
Eric Gordon	Eric Gordon	True
Nene Hilario	Nene Hilario	True
Bradley Beal	Bradley Beal	True
Lou Williams	Lou Williams	True
Kyle Singler	Kyle Singler	True
Anthony Davis	Anthony Davis	True
J.J. Hickson	J.J. Hickson	True
Bradley Beal	Bradley Beal	True
Taj Gibson	Taj Gibson	True
Marco Belinelli	Marco Belinelli	True
Kyle Lowry	Kyle Lowry	True
Al-Farouq Aminu	Al-Farouq Aminu	True
Jodie Meeks	Jodie Meeks	True
Glen Davis	Glen Davis	True
Blake Griffin	Blake Griffin	True
Vince Carter	Vince Carter	True
Matt Barnes	Reggie Bullock	False
DeMar DeRozan	DeMar DeRozan	True
Deron Williams	Deron Williams	True
